trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1519968649,-1,-1.63E-05,6.34E-08,0.5,-1,-1.63E-05,6.34E-08,0,3.59E-05,-5.89E-05,0.5,0,3.59E-05,-5.89E-05,-0.05,-0.5,-0.5
1,2,1519968649,-1,-2.10E-05,6.34E-08,0.500000834,0,-4.66E-06,0,0,5.40E-05,-5.89E-05,0.499999166,0,1.81E-05,0,-0.050000834,-0.5,0
1,3,1519968649,-1,-5.16E-05,6.34E-08,0.900139517,0,-3.06E-05,0,0,0.000199054,-5.89E-05,0.099860483,0,0.000145005,0,-0.450139517,-4.5,-4
1,4,1519968649,8,-7.80E-05,2.28E-06,0.901339173,9,-2.64E-05,2.22E-06,6,0.001716954,0.000823956,0.098660827,6,0.0015179,0.00088281,-0.451339173,-4.5,0
1,5,1519968649,34,-9.48E-05,2.83E-05,0.752542224,26,-1.67E-05,2.60E-05,24,0.00348386,0.003413408,0.247457776,18,0.001766906,0.002589453,-0.302542224,-3,1.5
1,6,1519968649,98,-0.000185716,3.40E-05,0.703342173,64,-9.09E-05,5.66E-06,94,0.008648461,0.011299864,0.296657827,70,0.005164601,0.007886456,-0.253342173,-2.5,0.5
1,7,1519968649,98,-0.000445509,3.40E-05,0.704009012,0,-0.000259792,0,94,0.016151258,0.011299864,0.295990988,0,0.007502797,0,-0.254009012,-2.5,0
1,8,1519968649,147,-0.00054691,-9.56E-05,0.754677237,49,-0.000101401,-0.00012958,163,0.020776641,0.018243447,0.245322763,69,0.004625384,0.006943583,-0.304677237,-3,-0.5
1,9,1519968649,215,-0.000432821,-0.00024556,0.755476646,68,0.000114089,-0.000149941,237,0.030901217,0.026599394,0.244523354,74,0.010124576,0.008355946,-0.305476646,-3,0
1,10,1519968649,295,-0.000421532,-0.000383232,0.656275665,80,1.13E-05,-0.000137672,316,0.04218926,0.035956193,0.343724335,79,0.011288043,0.0093568,-0.206275665,-2,1
1,11,1519968650,381,-0.000398137,-0.000571715,0.606809196,86,2.34E-05,-0.000188483,405,0.048293855,0.046253948,0.393190804,89,0.006104595,0.010297754,-0.156809196,-1.5,0.5
1,12,1519968650,474,-0.000143974,-0.000786109,0.557208781,93,0.000254163,-0.000214394,500,0.061383736,0.057316454,0.442791219,95,0.013089881,0.011062506,-0.107208781,-1,0.5
1,13,1519968650,575,0.000345698,-0.001007938,0.50747499,101,0.000489671,-0.000221829,601,0.075245428,0.069202926,0.49252501,101,0.013861691,0.011886472,-0.05747499,-0.5,0.5
1,14,1519968650,681,0.000591223,-0.001211943,0.607608351,106,0.000245525,-0.000204006,705,0.082415636,0.081560617,0.392391649,104,0.007170208,0.012357691,-0.157608351,-1.5,-1
1,15,1519968650,790,0.001304253,-0.001389023,0.658019224,109,0.00071303,-0.00017708,811,0.097053964,0.094213024,0.341980776,106,0.014638328,0.012652407,-0.208019224,-2,-0.5
1,16,1519968650,903,0.002142157,-0.001529673,0.708568855,113,0.000837904,-0.000140649,920,0.111849264,0.107277892,0.291431145,109,0.0147953,0.013064868,-0.258568855,-2.5,-0.5
1,17,1519968650,1013,0.002952735,-0.001762505,0.659254442,110,0.000810577,-0.000232832,1035,0.127253082,0.120518032,0.340745558,115,0.015403818,0.01324014,-0.209254442,-2,0.5
1,18,1519968650,1123,0.003229969,-0.002105856,0.609807624,110,0.000277235,-0.000343351,1154,0.134976263,0.133991262,0.390192376,119,0.007723182,0.01347323,-0.159807624,-1.5,0.5
1,19,1519968650,1236,0.00374028,-0.002514235,0.660219366,113,0.000510311,-0.000408379,1274,0.150611609,0.147698201,0.339780634,120,0.015635345,0.013706939,-0.210219366,-2,-0.5
1,20,1519968650,1353,0.003949478,-0.0029565,0.660776777,117,0.000209199,-0.000442265,1395,0.166258926,0.161698508,0.339223223,121,0.015647317,0.014000308,-0.210776777,-2,0
1,21,1519968650,1472,0.003911891,-0.003447066,0.661324207,119,-8.60E-06,-0.000490566,1518,0.182263022,0.175932766,0.338675793,123,0.007931542,0.014234257,-0.211324207,-2,0
1,22,1519968650,1589,0.003870447,-0.00403978,0.661880137,117,-7.04E-05,-0.000592715,1643,0.190382312,0.190163136,0.338119863,125,0.016191844,0.01423037,-0.211880137,-2,0
1,23,1519968650,1710,0.003556277,-0.004663057,0.662441127,121,-0.000314169,-0.000623276,1768,0.206765933,0.204627839,0.337558873,125,0.016383621,0.014464703,-0.212441127,-2,0
1,24,1519968650,1833,0.003176641,-0.005375971,0.612996165,123,-0.000379636,-0.000712914,1897,0.223436932,0.219441945,0.387003835,129,0.016670999,0.014814106,-0.162996165,-1.5,0.5
1,25,1519968650,1958,0.00295025,-0.006145785,0.61340853,125,-0.000226391,-0.000769814,2027,0.231764995,0.234430001,0.38659147,130,0.008328063,0.014988056,-0.16340853,-1.5,0
1,26,1519968650,2084,0.002741536,-0.006937112,0.663821862,126,-0.000208714,-0.000791328,2156,0.248590261,0.249416936,0.336178138,129,0.016825266,0.014986936,-0.213821862,-2,-0.5
1,27,1519968650,2342,0.002748204,-0.008525165,0.614380131,129,2.86E-05,-0.000784312,2415,0.274003997,0.279803066,0.385619869,129,0.016932973,0.015164106,-0.164380131,-1,0.5
1,28,1519968650,2342,0.002759045,-0.008525165,0.564816428,129,-1.11E-05,-0.000803741,2415,0.282461471,0.279803066,0.435183572,130,0.016938237,0.015222025,-0.114816428,-1,0.5
1,29,1519968651,2489,0.003230343,-0.009496939,0.565207278,147,0.000471298,-0.000971773,2565,0.29940227,0.29725572,0.434792722,150,0.0169408,0.017452654,-0.115207278,-1,0
1,30,1519968651,2625,0.003962111,-0.01032912,0.565495848,136,0.000731767,-0.000832182,2699,0.316237044,0.31312454,0.434504152,134,0.016834773,0.01586882,-0.115495848,-1,0
1,31,1519968651,2893,0.0045798,-0.011972315,0.665776713,137,0.00061769,-0.00083567,2966,0.332925505,0.344568613,0.334223287,136,0.016688461,0.016045441,-0.215776713,-2,-1
1,32,1519968651,2893,0.004912973,-0.011972315,0.666331254,131,0.000333173,-0.000807524,2966,0.341139918,0.344568613,0.333668746,131,0.008214413,0.015398632,-0.216331254,-2,0
1,33,1519968651,3022,0.005572809,-0.012767511,0.566893442,129,0.000659836,-0.000795196,3095,0.357753212,0.359732152,0.433106558,129,0.016613294,0.015163539,-0.116893442,-1,1
1,34,1519968651,3148,0.006019181,-0.013700451,0.617168887,126,0.000446372,-0.00093294,3229,0.374396749,0.375005769,0.382831113,134,0.016643537,0.015273617,-0.167168887,-1.5,-0.5
1,35,1519968651,3273,0.006115514,-0.014733521,0.717581649,125,9.63E-05,-0.00103307,3363,0.390769816,0.390213951,0.282418351,134,0.016373067,0.015208182,-0.267581649,-2.5,-1
1,36,1519968651,3527,0.00604265,-0.016825535,0.668264763,254,-2.61E-05,-0.002092014,3624,0.407411791,0.420451482,0.331735237,261,0.008228805,0.030237531,-0.218264763,-2,0.5
1,37,1519968651,3527,0.006011206,-0.016825535,0.668864405,0,-7.82E-05,0,3624,0.415836986,0.420451482,0.331135595,0,0.016838365,0,-0.218864405,-2,0
1,38,1519968651,3660,0.006189211,-0.018129877,0.669432015,133,0.000178005,-0.001304341,3767,0.432506369,0.436642779,0.330567985,143,0.016669383,0.016191297,-0.219432015,-2,0
1,39,1519968651,3790,0.006428858,-0.019367245,0.569987685,130,0.000239646,-0.001237369,3900,0.449051071,0.452071888,0.430012315,133,0.016544702,0.015429109,-0.119987685,-1,1
1,40,1519968651,3918,0.00684919,-0.02068263,0.570267419,128,0.000156609,-0.001315384,4034,0.465757189,0.467435473,0.429732581,134,0.008325795,0.015363585,-0.120267419,-1,0
