trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1520054167,0,4.46E-06,0,0.45,0,4.46E-06,0,0,-8.11E-06,0,0.55,0,-8.11E-06,0,0,1,1
1,2,1520054167,0,1.25E-05,0,0.45,0,8.01E-06,0,0,-2.99E-05,0,0.55,0,-2.18E-05,0,0,0.5,-0.5
1,3,1520054167,0,1.78E-05,0,0.45,0,5.38E-06,0,0,-4.16E-05,0,0.55,0,-1.17E-05,0,0,-2,-2.5
1,4,1520054168,4,-3.57E-06,-1.52E-05,0.450152062,4,-2.14E-05,-1.52E-05,16,0.000898498,0.001176985,0.549847938,16,0.000940077,0.001176985,-0.000152062,-2.5,-0.5
1,5,1520054168,28,2.35E-05,-1.52E-05,0.450152463,24,2.71E-05,2.79E-10,32,0.004356655,0.003531152,0.549847537,16,0.003458157,0.002354167,-0.000152463,-1,1.5
1,6,1520054168,65,-5.23E-05,-2.77E-05,0.450277897,37,-7.58E-05,-1.25E-05,69,0.007027342,0.007886342,0.549722103,37,0.002670686,0.00435519,-0.000277897,-0.5,0.5
1,7,1520054168,115,-0.000204735,-5.12E-05,0.450513275,50,-0.000152426,-2.35E-05,120,0.014095243,0.013830567,0.549486725,51,0.007067901,0.005944225,-0.000513275,-0.5,0
1,8,1520054168,179,-0.000241887,-7.82E-05,0.450784973,64,-3.72E-05,-2.70E-05,184,0.022949486,0.021363852,0.549215027,64,0.008854243,0.007533285,-0.000784973,0,0.5
1,9,1520054168,251,-0.000227497,-0.000108619,0.451091179,72,1.44E-05,-3.04E-05,256,0.028082592,0.029838797,0.548908821,72,0.005133106,0.008474945,-0.001091179,0,0
1,10,1520054168,333,-1.33E-05,-0.000122304,0.451230929,82,0.000214159,-1.37E-05,336,0.038952236,0.039373162,0.548769071,80,0.010869644,0.009534365,-0.001230929,0,0
1,11,1520054168,421,0.000514206,-0.000144606,0.451457209,88,0.000527544,-2.23E-05,424,0.050870034,0.049731471,0.548542791,88,0.011917798,0.010358309,-0.001457209,-0.5,-0.5
1,12,1520054168,517,0.00089625,-0.00012078,0.451222793,96,0.000382044,2.38E-05,516,0.057172261,0.060796029,0.548777207,92,0.006302227,0.011064558,-0.001222793,-0.5,0
1,13,1520054168,616,0.00181932,-0.000124982,0.451268027,99,0.00092307,-4.20E-06,616,0.07021753,0.072508008,0.548731973,100,0.013045269,0.011711978,-0.001268027,0.5,1
1,14,1520054168,721,0.002626149,-8.56E-05,0.45087786,105,0.000806829,3.93E-05,718,0.083934791,0.084690756,0.54912214,102,0.01371726,0.012182749,-0.00087786,0.5,0
1,15,1520054168,830,0.003191094,-1.75E-05,0.450198982,109,0.000564945,6.81E-05,824,0.090984651,0.097344219,0.549801018,106,0.00704986,0.012653462,-0.000198982,0.5,0
1,16,1520054168,941,0.004658452,6.61E-05,0.449363054,111,0.001467357,8.36E-05,933,0.105239357,0.110291866,0.550636946,109,0.014254707,0.012947647,0.000636946,1,0.5
1,17,1520054168,1056,0.00629062,0.000199775,0.448024773,115,0.001632169,0.000133652,1044,0.119842572,0.123592236,0.551975227,111,0.014603215,0.01330037,0.001975227,0,-1
1,18,1520054168,1169,0.007153409,0.000300459,0.447012619,113,0.000862789,0.000100684,1158,0.127267922,0.136951752,0.552987381,114,0.00742535,0.013359516,0.002987381,-1,-1
1,19,1520054168,1285,0.008904911,0.000422432,0.445784882,116,0.001751502,0.000121973,1273,0.142321261,0.150546517,0.554215118,115,0.015053339,0.013594765,0.004215118,0,1
1,20,1520054168,1402,0.010512134,0.000526664,0.444731286,117,0.001607223,0.000104232,1391,0.157554286,0.164376854,0.555268714,118,0.015233025,0.013830336,0.005268714,0,0
1,21,1520054168,1519,0.011313984,0.000606417,0.443919752,117,0.00080185,7.98E-05,1510,0.165187352,0.178266208,0.556080248,119,0.007633066,0.013889354,0.006080248,-0.5,-0.5
1,22,1520054168,1519,0.012885296,0.000606417,0.443903568,0,0.001571312,0,1510,0.180499846,0.178266208,0.556096432,0,0.015312494,0,0.006096432,-0.5,0
1,23,1520054169,1636,0.014137848,0.00068087,0.44314286,117,0.001252552,7.45E-05,1628,0.196084622,0.192096737,0.55685714,118,0.015584775,0.013830529,0.00685714,0,0.5
1,24,1520054169,1755,0.014733805,0.000746493,0.442468516,119,0.000595957,6.56E-05,1748,0.203874625,0.20616273,0.557531484,120,0.007790004,0.014065993,0.007531484,0,0
1,25,1520054169,1875,0.015801474,0.000772157,0.442192007,120,0.001067669,2.57E-05,1871,0.219702126,0.220464269,0.557807993,123,0.015827501,0.014301539,0.007807993,-0.5,-0.5
1,26,1520054169,1875,0.016785261,0.000772157,0.44217151,0,0.000983787,0,1871,0.235749003,0.220464269,0.55782849,0,0.016046877,0,0.00782849,-0.5,0
1,27,1520054169,2106,0.017303054,0.000791761,0.441954927,231,0.000517793,1.96E-05,2104,0.24384491,0.247772596,0.558045073,233,0.008095907,0.027308326,0.008045073,-0.5,0
1,28,1520054169,2232,0.018451503,0.000844565,0.44140572,126,0.001148449,5.28E-05,2228,0.260105832,0.262486042,0.55859428,124,0.016260921,0.014713447,0.00859428,0.5,1
1,29,1520054169,2359,0.019899976,0.000903346,0.440795406,127,0.001448473,5.88E-05,2354,0.276262464,0.277376031,0.559204594,126,0.016156632,0.014889988,0.009204594,1,0.5
1,30,1520054169,2489,0.020719568,0.001022299,0.439581663,130,0.000819592,0.000118953,2480,0.284376304,0.292442228,0.560418337,126,0.008113841,0.015066197,0.010418337,1,0
1,31,1520054169,2618,0.022420312,0.001152065,0.438256779,129,0.001700744,0.000129766,2607,0.300546808,0.307508335,0.561743221,127,0.016170504,0.015066108,0.011743221,1.5,0.5
1,32,1520054169,2748,0.024509503,0.001320333,0.436543382,130,0.002089191,0.000168268,2734,0.316440113,0.32263292,0.563456618,127,0.015893305,0.015124585,0.013456618,1.5,0
1,33,1520054169,2878,0.025726914,0.001505602,0.434655045,130,0.001217411,0.000185269,2862,0.324269933,0.337816165,0.565344955,128,0.00782982,0.015183245,0.015344955,0.5,-1
