Trial Number, Time, Power, Voltage, actualx, actualy, EncoderX, En/coderY, AccelDispX, AccelDispY
1,2.0,1.0,5.72,-1.016,27.686,-0.922133836959,27.424412325000002,-10.0473051104,24.0818068759
2,2.0,1.0,5.7,-1.27,27.9146,-0.997791243938,28.19982605,-2.1392318491,26.931725209099998
3,2.0,1.0,5.72,-1.27,27.177999999999997,-1.02545505377,27.6160239744,4.55045951355,31.0141883374
4,2.0,1.0,5.7,0.762,28.702,-1.0278463413899999,28.916710668399997,-1.9810450923799998,30.424660890400002
5,2.0,1.0,5.68,-1.3970000000000002,29.337000000000003,-0.920267662342,29.668062024300003,-9.597654586560001,26.8148746414
6,2.0,1.0,5.69,-2.032,29.972,-1.2005791881499999,30.252898097699997,0.872710956383,35.449472696099996
7,2.0,1.0,5.69,-1.143,29.464,-1.3261653851,29.8944559957,1.07845055098,34.8396366415
8,2.0,1.0,5.68,-0.7874,29.7434,-1.10233708334,30.0565021878,-2.08793596769,31.5466189869
9,2.0,1.0,5.67,-1.4731999999999998,30.5562,-1.13945625951,30.9852425986,-4.31164777459,28.8107359133
10,2.0,1.0,5.69,-1.524,29.845,-1.0290499377,30.2589160265,-0.673534513688,34.2119885791
11,2.0,1.0,5.66,-1.27,29.972,-1.1034689255899999,30.1917942918,3.2770833184400003,35.0833296331
12,2.0,1.0,5.66,-1.3716000000000002,29.1846,-1.0481915505,29.4340338361,0.121085627183,32.783142063
13,2.0,1.0,5.67,-1.4224,29.768800000000002,-0.8138665259980001,30.253282472600002,-3.02344865533,33.4438835587
14,2.0,1.0,5.65,-1.27,30.226000000000003,-1.07835943695,30.6562296186,-7.51975581572,30.653246964199997
15,2.0,1.0,5.64,-1.4731999999999998,29.718,-1.22184938662,30.245878907399998,-4.14811070163,32.7196085757
16,2.0,1.0,5.65,-1.7779999999999998,30.4546,-1.11731186909,30.8855445068,-2.35401459805,33.652551289
17,2.0,1.0,5.64,-1.7779999999999998,30.733999999999998,-1.23144746523,31.1287865374,2.7785056196799998,36.2016975182
18,2.0,1.0,5.64,-1.7779999999999998,30.5054,-4.96714300882,30.9606449884,1.90691215955,34.4847903852
19,2.0,1.0,5.63,-1.651,29.768800000000002,-1.05178880331,30.2053925336,1.17061230028,35.1898577423
